Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
,:--------------------------------------------,:----------------------------------------------------------------------------------,:----------,-----------:,------------:,----------:,----------:,----------:,:-------------------------------------------------------------------------,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.831169  ,    0.925373 , 0.885714  , 0.905109  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.857143  ,    0.915493 , 0.928571  , 0.921986  ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.602941  ,    0.821429 , 0.511111  , 0.630137  ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.647059  ,    0.661538 , 0.955556  , 0.781818  ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.647059  ,    0.661538 , 0.955556  , 0.781818  ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.705882  ,    0.755102 , 0.822222  , 0.787234  ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.278481  ,    1        , 0.208333  , 0.344828  ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.924051  ,    0.923077 , 1         , 0.96      ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.924051  ,    0.923077 , 1         , 0.96      ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.848101  ,    0.916667 , 0.916667  , 0.916667  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.65      ,    0.461538 , 0.72      , 0.5625    ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.55      ,    0.409836 , 1         , 0.581395  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.55      ,    0.409836 , 1         , 0.581395  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.6875    ,    0.5      , 0.4       , 0.444444  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.552632  ,    0.97561  , 0.547945  , 0.701754  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.894737  ,    0.957746 , 0.931507  , 0.944444  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.894737  ,    0.957746 , 0.931507  , 0.944444  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.894737  ,    0.957746 , 0.931507  , 0.944444  ,           ,                                                                          ,
