Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
,:--------------------------------------------,:----------------------------------------------------------------------------------,:----------,-----------:,------------:,----------:,----------:,----------:,:-------------------------------------------------------------------------,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.0909091 ,    0        , 0         , 0         ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.338235  ,    0        , 0         , 0         ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.101266  ,    1        , 0.0138889 , 0.0273973 ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.6375    ,    0        , 0         , 0         ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.3125    ,    0.3125   , 1         , 0.47619   ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.3125    ,    0.3125   , 1         , 0.47619   ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.3125    ,    0.3125   , 1         , 0.47619   ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.0657895 ,    0.75     , 0.0410959 , 0.0779221 ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.0657895 ,    0.75     , 0.0410959 , 0.0779221 ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.316456  ,    0        , 0         , 0         ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.683544  ,    0.666667 , 1         , 0.8       ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.683544  ,    0.666667 , 1         , 0.8       ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.683544  ,    0.666667 , 1         , 0.8       ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.35443   ,    0        , 0         , 0         ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.670886  ,    0.662338 , 1         , 0.796875  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.0958904 ,    1        , 0.0704225 , 0.131579  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.468354  ,    0.181818 , 0.571429  , 0.275862  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.303797  ,    0.202899 , 1         , 0.337349  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.303797  ,    0.202899 , 1         , 0.337349  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.683544  ,    0.28     , 0.5       , 0.358974  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.631579  ,    0.8      , 0.689655  , 0.740741  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.684211  ,    0.75     , 0.87931   , 0.809524  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.684211  ,    0.75     , 0.87931   , 0.809524  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.631579  ,    0.75     , 0.775862  , 0.762712  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_survival-prob                                                     ,           ,  0.0909091 ,    0        , 0         , 0         ,  0.5      ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_survival-prob                                                     ,           ,  0.0909091 ,    0        , 0         , 0         ,  0.5      ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_mean-survival-prob                                                ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,  0.5      ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_survival-prob                                                     ,           ,  0.338235  ,    0        , 0         , 0         ,  0.5      ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_survival-prob                                                     ,           ,  0.338235  ,    0        , 0         , 0         ,  0.5      ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_mean-survival-prob                                                ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   ,  0.5      ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_survival-prob                                                     ,           ,  0.101266  ,    1        , 0.0138889 , 0.0273973 ,  0.493056 ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_survival-prob                                                     ,           ,  0.101266  ,    1        , 0.0138889 , 0.0273973 ,  0.493056 ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.0886076 ,    0        , 0         , 0         ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_mean-survival-prob                                                ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,  0.493056 ,                                                                          ,
, fish and fish products                      , scores_cph_tree_survival-prob                                                     ,           ,  0.6375    ,    0        , 0         , 0         ,  0.536364 ,                                                                          ,
, fish and fish products                      , scores_cph_tree_survival-prob                                                     ,           ,  0.6375    ,    0        , 0         , 0         ,  0.536364 ,                                                                          ,
, fish and fish products                      , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.3625    ,    0.328947 , 1         , 0.49505   ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_mean-survival-prob                                                ,           ,  0.3125    ,    0.3125   , 1         , 0.47619   ,  0.536364 ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_survival-prob                                                     ,           ,  0.0657895 ,    0.75     , 0.0410959 , 0.0779221 ,  0.646119 ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_survival-prob                                                     ,           ,  0.0657895 ,    0.75     , 0.0410959 , 0.0779221 ,  0.646119 ,                                                                          ,
