Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
,:--------------------------------------------,:----------------------------------------------------------------------------------,:----------,-----------:,------------:,----------:,----------:,----------:,:-------------------------------------------------------------------------,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.857143  ,    0.927536 , 0.914286  , 0.920863  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.857143  ,    0.90411  , 0.942857  , 0.923077  ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.573529  ,    0.681818 , 0.666667  , 0.674157  ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.691176  ,    0.706897 , 0.911111  , 0.796117  ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.443038  ,    1        , 0.388889  , 0.56      ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.886076  ,    0.909091 , 0.972222  , 0.939597  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.7       ,    0.529412 , 0.36      , 0.428571  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.4375    ,    0.357143 , 1         , 0.526316  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.4375    ,    0.357143 , 1         , 0.526316  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.75      ,    0.608696 , 0.56      , 0.583333  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.736842  ,    0.964912 , 0.753425  , 0.846154  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.670886  ,    0.681818 , 0.9       , 0.775862  ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.696203  ,    0.680556 , 0.98      , 0.803279  ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.696203  ,    0.680556 , 0.98      , 0.803279  ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.696203  ,    0.732143 , 0.82      , 0.773585  ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.556962  ,    0.833333 , 0.392157  , 0.533333  ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.594937  ,    0.693878 , 0.666667  , 0.68      ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.465753  ,    1        , 0.450704  , 0.621359  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.291139  ,    0.171875 , 0.785714  , 0.282051  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.240506  ,    0.189189 , 1         , 0.318182  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.240506  ,    0.189189 , 1         , 0.318182  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.810127  ,    0.333333 , 0.0714286 , 0.117647  ,           ,                                                                          ,
