Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
,:--------------------------------------------,:----------------------------------------------------------------------------------,:----------,-----------:,------------:,----------:,----------:,----------:,:-------------------------------------------------------------------------,
, fruits and vegetables                       , scores_cph_tree5_risk-prediction-guide-on-test                                    ,           ,  0.0909091 ,   0         , 0         , 0         ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree5_risk-prediction-guide-on-train                                   ,           ,  0.909091  ,   0.909091  , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree5_risk-prediction-guide-on-train-alt                               ,           ,  0.909091  ,   0.909091  , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree5_risk-prediction-decision-threshold                               ,           ,  0.909091  ,   0.909091  , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree10_risk-prediction-guide-on-test                                   ,           ,  0.0909091 ,   0         , 0         , 0         ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree10_risk-prediction-guide-on-train                                  ,           ,  0.909091  ,   0.909091  , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree10_risk-prediction-guide-on-train-alt                              ,           ,  0.909091  ,   0.909091  , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree10_risk-prediction-decision-threshold                              ,           ,  0.909091  ,   0.909091  , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree15_risk-prediction-guide-on-test                                   ,           ,  0.0909091 ,   0         , 0         , 0         ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree15_risk-prediction-guide-on-train                                  ,           ,  0.909091  ,   0.909091  , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree15_risk-prediction-guide-on-train-alt                              ,           ,  0.909091  ,   0.909091  , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree15_risk-prediction-decision-threshold                              ,           ,  0.909091  ,   0.909091  , 1         , 0.952381  ,           ,                                                                          ,
